1679,8.9,1999,11,24,1,13,26
1682,9,1999,11,4,0,12,6
1685,9,1999,11,4,0,12,1
1689,9.2,1999,11,18,0,1,0
1692,9,1999,11,24,0,13,0
1693,9,1999,11,24,0,13,0
1702,8.5,1999,11,2,1,12,7
1704,9.1,1999,11,2,0,12,7
1708,8.5,1999,10,29,1,12,15
1710,9.3,1999,11,18,0,12,6
1728,9.2,1999,10,27,0,1,11
1738,8.8,1999,11,16,1,1,6
1747,9,1999,11,15,0,1,9
1759,9.3,1999,12,10,0,1,14
1779,8.7,1999,12,9,1,17,11
1781,9.2,1999,12,8,0,1,7
1785,8.6,1999,11,30,1,1,6
1795,9.6,1999,12,6,0,1,14
1802,9.2,1999,11,24,0,13,7
1805,8.5,1999,12,6,1,17,6
1808,8.8,1999,12,6,1,1,9
1810,9,1999,12,6,0,17,10
1822,9,1999,12,3,0,15,9
1832,8.2,1999,12,23,1,13,1
1835,9.1,1999,12,23,0,12,7
1842,9,2000,1,7,0,16,27
1853,9.6,2000,1,28,0,17,15
1858,9.2,1999,12,17,0,1,1
1862,8.8,2000,1,7,1,1,10
1863,8.8,2000,1,7,1,1,9
1867,9,2000,1,6,0,15,10
1874,9.8,1999,12,20,0,12,11
1881,9,2000,1,26,0,15,1
1893,8.9,2000,1,18,1,1,11
1894,9,2000,1,18,0,12,0
1902,9.1,2000,1,26,0,17,6
1916,8.8,1999,12,14,1,1,11
1924,9,2000,1,5,0,1,24
1927,10,2000,1,4,2,16,13
1934,8.8,2000,1,24,1,1,14
1945,9,2000,1,11,0,12,28
1946,8.9,2000,1,11,1,12,6
1956,9.5,2000,2,4,0,1,24
1972,8.5,2000,2,2,1,12,11
1994,8.8,2000,3,1,1,12,26
2008,10,2000,2,28,2,15,29
2011,8.9,2000,2,25,1,1,6
2018,9,2000,2,22,0,12,11
2024,8.9,2000,2,18,1,12,2
2042,9,2000,3,24,0,1,6
2062,9.6,2000,3,21,0,17,0
2063,8.8,2000,3,21,1,12,1
2065,8.8,2000,3,8,1,1,11
2066,9,2000,3,7,0,17,10
2100,8.9,2000,3,14,1,12,6
2102,9.1,2000,3,14,0,13,7
2103,9.2,2000,3,13,0,12,21
2104,9,2000,3,13,0,12,6
2130,9,2000,4,3,0,1,6
2141,9.2,2000,3,30,0,17,2
2143,9.4,2000,3,30,0,17,6
2145,9.1,2000,3,30,0,13,7
2151,9,2000,5,26,0,15,6
2157,9.8,2000,5,24,0,17,7
2168,9.2,2000,4,28,0,1,6
2174,10,2000,5,5,2,15,2
